RecordType|OperationFlg|Request_Status|CIFID|SubforCC|SubForAccount|SubForRemittance|SubForDeposit|SubForInvestments|SubForFutureService1|SubForFutureService2|SubForFutureService3|DeliveryMode|FaxNum|PrimaryEmail|SecondaryEmail|RCreId|RCreTime
FN|M|SUC|1116231|Y|Y|Y|Y|Y|N|N|N|E||elx2pbr23@rakbanktst.ae|estatetest4@rakbanktst.ae|LAST NAME FOR 1116231|05-12-2018 16:33:39
FN|M|SUC|2015976|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 2015976|12-11-2018 09:12:21
FN|M|SUC|0273500|Y|Y|Y|Y|N|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 0273500|14-11-2018 08:44:41
FN|M|SUC|0256205|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 0256205|06-09-2018 14:27:15
FN|D|SUC|0380086|Y|Y|Y|Y|Y|N|N|N|E||estatetest4@rakbanktst.ae|estatetest4@rakbanktst.ae|LAST NAME FOR 0380086|25-11-2018 15:16:06
FN|M|SUC|0501330|Y|Y|Y|Y|N|N|N|N|E||elx2pbr23@rakbanktst.ae|elx2pbr23@rakbanktst.ae|LAST NAME FOR 0501330|05-07-2018 17:19:41
FN|D|REJ|2467675|Y|Y|Y|Y|Y|N|N|N|E||estatetest4@rakbanktst.ae|estatetest4@rakbanktst.ae|LAST NAME FOR 2467675|26-09-2018 09:42:38
FN|M|SUC|0142344|Y|Y|Y|Y|Y|N|N|N|E||elx2pbr23@rakbanktst.ae|estatetest4@rakbanktst.ae|LAST NAME FOR 0142344|01-07-2018 11:47:50
FN|M|SUC|1310740|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 1310740|12-11-2018 09:47:59
FN|M|SUC|1364406|Y|Y|Y|Y|N|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 1364406|12-11-2018 09:49:06
FN|D|SUC|0221893|N|Y|Y|Y|Y|N|N|N|E||elx2pbr23@rakbanktst.ae||LAST NAME FOR  0221893|01-07-2018 12:10:46
FN|M|SUC|2416053|Y|Y|Y|Y|Y|N|N|N|E||elx2pbr23@rakbanktst.ae|estatetest4@rakbanktst.ae|LAST NAME FOR 2416053|03-07-2018 11:15:56
FN|M|SUC|2553331|Y|Y|Y|Y|Y|N|N|N|E||latha@rakbanktst.ae|latha@rakbanktst.ae|LAST NAME FOR 2553331|10-09-2018 09:54:59
FN|D|SUC|0338144|Y|Y|Y|Y|Y|N|N|N|E||estatetest6@rakbanktst.ae||LAST NAME FOR 0338144|28-06-2018 16:17:07
FN|D|SUC|0409155|Y|Y|Y|Y|Y|N|N|N|E||estatetest6@rakbanktst.ae||ACCOUNT NAME FOR      0409155XXXXXXXXXXXXXXXXXXXXXXX|28-06-2018 16:22:24
FN|D|SUC|0122430|Y|Y|Y|Y|Y|N|N|N|E||estatetest6@rakbanktst.ae||LAST NAME FOR 0122430|28-06-2018 16:26:18
FN|D|SUC|0464349|Y|Y|Y|Y|Y|N|N|N|E||estatetest6@rakbanktst.ae||LAST NAME FOR 0464349|28-06-2018 16:25:17
FN|D|SUC|0322937|Y|Y|Y|Y|Y|N|N|N|E||estatetest6@rakbanktst.ae||LAST NAME FOR 0322937|28-06-2018 16:20:44
FN|I|SUC|2551024|Y|Y|Y|Y|Y|N|N|N|E||elx2pbr23@rakbanktst.ae||LAST NAME FOR 2551024|02-07-2018 15:18:04
